SNO,Date,Time,MQ138,Voltage_V
539,26-09-2025,14:54:05:836285,2490,4.06
540,26-09-2025,14:54:09:110285,2495,4.01
541,26-09-2025,14:54:12:598285,2451,4.05
542,26-09-2025,14:54:15:869285,2451,4.02
543,26-09-2025,14:54:19:150285,2492,3.98
544,26-09-2025,14:54:22:215285,2487,4.01
545,26-09-2025,14:54:25:696284,2486,4.03
546,26-09-2025,14:54:29:182285,2492,4.08
547,26-09-2025,14:54:32:884284,2449,4.04
548,26-09-2025,14:54:36:972284,2453,4
549,26-09-2025,14:54:40:238285,2451,4.03
550,26-09-2025,14:54:43:310285,2447,4.01
551,26-09-2025,14:54:47:000285,2449,4.17
552,26-09-2025,14:54:50:480285,2491,4
553,26-09-2025,14:54:53:966285,2454,4.01
554,26-09-2025,14:54:57:447285,2455,4.02
555,26-09-2025,14:55:00:924284,2448,3.99
556,26-09-2025,14:55:04:410285,2453,4.01
557,26-09-2025,14:55:07:683285,2449,4.09
