SNO,Date,Time,Phase,Heater_Profile,MQ136_RAW,MQ138_RAW,BME1_Temp,BME1_Hum,BME1_Gas(kOhm),SGP40_VOC,Activated,Concentration,Distance
236,28-07-2025,21:54:56:372525,Post-Puff,322,117,4095,30.06,62.56,95.01,30870,YES,N/A,0
237,28-07-2025,21:54:58:178528,Post-Puff,322,115,4095,30.05,62.54,94.85,30875,YES,N/A,0
238,28-07-2025,21:54:59:984525,Post-Puff,322,86,4095,30.05,62.53,95.17,30871,YES,N/A,0
239,28-07-2025,21:55:01:790528,Post-Puff,322,113,4095,30.04,62.53,95.11,30866,YES,N/A,0
240,28-07-2025,21:55:03:596525,Post-Puff,322,78,4095,30.04,62.55,94.9,30868,YES,N/A,0
241,28-07-2025,21:55:05:402528,Post-Puff,322,119,4095,30.05,62.58,95.01,30866,YES,N/A,0
242,28-07-2025,21:55:07:208525,Post-Puff,322,117,4095,30.05,62.58,94.85,30865,YES,N/A,0
243,28-07-2025,21:55:09:015528,Post-Puff,322,141,4095,30.05,62.58,95.11,30868,YES,N/A,0
244,28-07-2025,21:55:10:821524,Post-Puff,322,79,4095,30.04,62.6,95.11,30866,YES,N/A,0
245,28-07-2025,21:55:12:627528,Post-Puff,322,127,4095,30.04,62.59,95.38,30865,YES,N/A,0
246,28-07-2025,21:55:14:433525,Post-Puff,322,112,4095,30.04,62.6,94.85,30865,YES,N/A,0
